,Name,Artist,year_in_which_song_repeated,Genre,song_repeated_in_one_year_count,total_years_song_repeated
84,nobody else but you,trey songz,2017,R&;B,3,1
85,sacrifices,drake,2017,"Canada,Rap",3,1
86,yah.,kendrick lamar,2017,"Producer,Conscious Hip-Hop,Pop,R&;B,Trip-Hop,West Coast,Rap",3,1
87,no favors,big sean,2017,Rap,3,1
88,if the boot fits,granger smith,2017,Country,3,1
89,it's the most wonderful time of the year,andy williams,2017,"Christmas,Holiday,Pop",3,3
90,walk on water,eminem,2017,"Ballad,Piano,Rap",3,2
91,tell me you love me,demi lovato,2017,Pop,3,2
92,how i'll always be,tim mcgraw,2017,Country,3,2
93,rockin' around the christmas tree,brenda lee,2017,"Christmas,Rock",3,6
94,pride.,kendrick lamar,2017,"Ballad,Producer,Conscious Hip-Hop,Pop,R&;B,Alternative,Alternative Rock,Lo-Fi,West Coast,Rap",2,1
95,glow,drake,2017,"R&;B,Canada,Soul,Rap",2,1
96,ice melts,drake,2017,"Trap,Canada,Rap",2,1
97,juice,yo gotti,2017,Rap,2,2
98,jorja interlude,drake,2017,"Trap,Soul,Canada,UK,R&;B,Rap",2,1
99,dive,ed sheeran,2017,"UK,Pop",2,1
100,beautiful trauma,p!nk,2017,Pop,2,2
101,call it what you want,taylor swift,2017,"Synth-Pop,Electro-Pop,Pop",2,1
102,do not disturb,drake,2017,"Canada,Rap",2,1
103,feel.,kendrick lamar,2017,"Producer,Pop,Conscious Hip-Hop,Bossa Nova,West Coast,Rap",2,1
104,fear.,kendrick lamar,2017,"Gospel,Pop,Producer,Conscious Hip-Hop,Christian,West Coast,Rap",2,1
105,4422,drake,2017,"UK,Alternative R&;B,Canada,R&;B",2,1
106,happier,ed sheeran,2017,"UK,Pop",2,1
107,five more minutes,scotty mccreery,2017,Country,2,2
108,god.,kendrick lamar,2017,"Gospel,Conscious Hip-Hop,Pop,Christian,Trap,West Coast,Rap",2,1
109,get it together,drake,2017,"Afrobeats,South Africa,Dancehall,UK,R&;B,Canada,Rap",2,1
110,no long talk,drake,2017,"Trap,UK Rap,UK,Canada,Rap",2,1
111,kmt,drake,2017,"Memes,Trap,UK Rap,UK,Canada,Rap",2,1
112,love,lana del rey,2017,"Indie Rock,Dream-Pop,Alternative,Alternative Pop,Pop",2,1
113,lust.,kendrick lamar,2017,"News,Politics,Pop,Producer,Conscious Hip-Hop,Boom Bap,West Coast,Rap",2,1
114,madiba riddim,drake,2017,"Pop,Canada,Dancehall",2,1
115,can't have everything,drake,2017,"Canada,Rap",2,1
116,nothings into somethings,drake,2017,"Canada,Rap",2,1
117,feliz navidad,jose feliciano,2017,"Rock,Pop,Latin Pop,Latin Music,Holiday,Christmas",1,3
118,heavy heart,meek mill,2017,Rap,1,1
119,duckworth.,kendrick lamar,2017,"G-Funk,Gangsta Rap,Conscious Hip-Hop,Producer,Pop,West Coast,Rap",1,1
120,trap trap trap,rick ross,2017,"Trap,Rap",1,1
121,heatstroke,calvin harris,2017,"Dance,Pop,Rap",1,1
122,untouchable,eminem,2017,"Rock,Conscious Hip-Hop,Rap",1,1
123,get right witcha,migos,2017,"Trap,Rap",1,1
124,ville mentality,j. cole,2017,Rap,1,2
125,wait,maroon 5,2017,"R&;B,Pop",1,2
126,lose you,drake,2017,"Canada,Rap",1,1
127,a lie,french montana,2017,Rap,1,1
128,jingle bell rock,bobby helms,2017,"Pop,Rockabilly,Christmas,Rock",1,4
129,what do i know?,ed sheeran,2017,"UK,Pop",1,1
