,Name,Artist,year_in_which_song_repeated,Genre,song_repeated_in_one_year_count,total_years_song_repeated
1069,superstar,lupe fiasco,2008,Rap,19,2
1070,just a dream,carrie underwood,2008,Country,19,2
1071,won't go home without you,maroon 5,2008,Pop,19,2
1072,just dance,lady gaga,2008,"Dance-Pop,Pop",19,2
1073,shattered,o.a.r.,2008,Pop,19,2
1074,whatever you like,t.i.,2008,Rap,19,2
1075,crush,david archuleta,2008,Pop,18,2
1076,back when i knew it all,montgomery gentry,2008,Country,18,1
1077,the anthem,pitbull,2008,"En Espa\xc3\xb1ol,Rap",18,1
1078,suffocate,j. holiday,2008,R&;B,18,2
1079,love don't live here,lady antebellum,2008,"Country,Rock",18,1
1080,the way that i love you,ashanti,2008,"R&;B,Rap",18,1
1081,take you there,sean kingston,2008,Rap,18,2
1082,better as a memory,kenny chesney,2008,"Country,Rock",17,1
1083,break the ice,britney spears,2008,"R&;B,Electro,Pop",17,1
1084,so what,p!nk,2008,"Power Pop,Alternative Rock,Pop-Rock,Pop,Rock",17,2
1085,that's what you get,paramore,2008,Rock,17,1
1086,psycho,puddle of mudd,2008,"Hard Rock,Rock",17,1
1087,you look good in my shirt,keith urban,2008,Country,17,1
1088,every day,rascal flatts,2008,"Country,Rock",17,1
1089,love is a beautiful thing,phil vassar,2008,Pop,17,1
1090,when you look me in the eyes,jonas brothers,2008,"Pop,Ballad,Pop-Rock",17,1
1091,get silly,v.i.c.,2008,Rap,17,1
1092,te quiero,flex,2008,"Latin Music,Reggae,Reggaeton,En Espa\xc3\xb1ol,Pop",17,1
1093,magic,robin thicke,2008,Pop,17,1
1094,miss independent,ne,2008,"Swing,Pop,R&;B",17,2
1095,mr. carter,lil wayne,2008,"Producer,Rap",17,1
1096,mrs. officer,lil wayne,2008,Rap,17,2
1097,feedback,janet,2008,"Dance-Pop,Pop,R&;B",17,1
1098,crying out for me,mario,2008,"R&;B,Rap",17,2
1099,never,jaheim,2008,R&;B,16,2
1100,burnin' up,jonas brothers,2008,"Rock,Pop-Rock,Pop",16,1
1101,come on get higher,matt nathanson,2008,Pop,16,2
1102,shadow of the day,linkin park,2008,"Alternative,Alternative Rock,Rock",16,2
1103,i won't tell,fat joe,2008,Rap,16,1
1104,crushcrushcrush,paramore,2008,"Alternative Rock,Pop-Punk,Rock",16,2
1105,all i want to do,sugarland,2008,"Country,Rap",16,1
1106,international harvester,craig morgan,2008,Country,15,2
1107,troubadour,george strait,2008,"Country,Rock",15,1
1108,7 things,miley cyrus,2008,"Pop-Rock,Pop",15,1
1109,letter to me,brad paisley,2008,Country,15,2
1110,pork and beans,weezer,2008,"Pop-Punk,Power Pop,Alternative Rock,Rock",15,1
1111,inside the fire,disturbed,2008,"Heavy Metal,Nu-Metal,Rock",15,1
1112,i don't care,fall out boy,2008,"Pop,Indie,Indie Pop,Indie Rock,Alternative Pop,Alternative,Punk Rock,Pop-Rock,Alternative Rock,Emo,Pop-Punk,Rock",14,2
1113,love story,taylor swift,2008,"Pop Country,Country,Pop",14,2
1114,roll with me,montgomery gentry,2008,"Rap,Country Rap,Country",14,2
1115,let it go,tim mcgraw,2008,"Country,Rock",14,2
1116,here i am,rick ross,2008,Rap,14,1
1117,last time,trey songz,2008,R&;B,13,1
1118,just fine,mary j. blige,2008,"Funk,Soul,R&;B,Pop",13,2
1119,never would have made it,marvin sapp,2008,"Christian,Rap",13,1
1120,chicken fried,zac brown band,2008,"Country,Rock",13,2
1121,piece of me,britney spears,2008,"Electronic,Dance,Electro,Pop",13,2
1122,summertime,new kids on the block,2008,Pop,13,1
1123,thunder,boys like girls,2008,"Rock,Alternative Rock,Pop-Punk,Pop-Rock",13,1
1124,kiss kiss,chris brown,2008,"DMV,Pop,Rap",12,2
1125,long road to ruin,foo fighters,2008,Rock,12,1
1126,krazy,pitbull,2008,Rap,12,2
1127,lovebug,jonas brothers,2008,"Rock,Pop-Rock,Pop",12,2
1128,i will possess your heart,death cab for cutie,2008,"Adult Alternative,Alternative Rock,Indie Rock,Rock",12,1
1129,bye bye,mariah carey,2008,"R&;B,Pop",12,1
1130,the way i am,ingrid michaelson,2008,"Indie Pop,Folk,Alternative Pop,Acoustic,Ballad,Pop,Adult Alternative,Adult Contemporary,Singer-Songwriter,Alternative Rock,Pop-Rock,Rock",12,2
1131,already gone,sugarland,2008,"Country,Rock",12,2
1132,watching airplanes,gary allan,2008,Pop,12,2
1133,winner at a losing game,rascal flatts,2008,"Country,Rock",12,2
1134,human,the killers,2008,Rock,11,2
1135,umma do me,rocko,2008,Rap,11,1
1136,can't help but wait,trey songz,2008,R&;B,11,2
1137,check yes juliet,we the kings,2008,Rock,11,1
1138,rise above this,seether,2008,"Post-Grunge,Alternative Metal,Rock",11,1
1139,here,rascal flatts,2008,"Country,Rock",11,2
1140,gotta be somebody,nickelback,2008,"Pop-Rock,Rock",11,2
1141,bad girlfriend,theory of a deadman,2008,"Hard Rock,Alternative Rock,Rock",11,2
1142,keeps gettin' better,christina aguilera,2008,Pop,11,2
1143,baby,ll cool j,2008,Rap,11,1
1144,shut up and let me go,the ting tings,2008,"Pop,Rock",11,1
1145,womanizer,britney spears,2008,"Dance-Pop,Electro-Pop,Pop",11,2
1146,cry for you,september,2008,Pop,10,1
1147,feel that fire,dierks bentley,2008,Country,10,2
1148,we weren't crazy,josh gracin,2008,Country,10,1
1149,lookin' for a good time,lady antebellum,2008,"Country,Rock",10,2
1150,the day that never comes,metallica,2008,"Heavy Metal,Thrash Metal,Rock",10,1
1151,hate that i love you,rihanna,2008,R&;B,10,2
1152,light on,david cook,2008,"Pop-Rock,Pop",10,2
1153,bust your windows,jazmine sullivan,2008,"Rock,R&;B",10,2
1154,stronger woman,jewel,2008,Pop,10,1
1155,stay,sugarland,2008,"Country,Rock",10,2
1156,if i had eyes,jack johnson,2008,"Singer-Songwriter,Blues Rock,Jazz Fusion,Pop-Rock,Adult Alternative,Rock",10,2
1157,if i were a boy,beyonce,2008,"Folk Rock,Folk,R&;B,Pop",10,2
1158,country man,luke bryan,2008,"Country,Rock",9,1
1159,no me doy por vencido,luis fonsi,2008,"En Espa\xc3\xb1ol,Pop",9,1
1160,fake it,seether,2008,"Hard Rock,Rock",9,2
1161,moving mountains,usher,2008,R&;B,9,1
1162,what do ya think about that,montgomery gentry,2008,Pop,9,2
1163,love remembers,craig morgan,2008,Country,9,1
1164,i'm so paid,akon,2008,"R&;B,Rap",9,2
1165,the way i are,timbaland,2008,Rap,9,2
1166,she wouldn't be gone,blake shelton,2008,"Country,Rock",8,2
1167,it's good to be us,bucky covington,2008,Pop,8,1
1168,who knew,p!nk,2008,"Pop-Rock,Pop",8,2
1169,corona and lime,shwayze,2008,Rap,8,1
1170,don't,billy currington,2008,Country,8,2
1171,sex on fire,kings of leon,2008,"Pop-Rock,Pop,Rock",8,2
1172,i'll be lovin' u long time,mariah carey,2008,"Pop,R&;B",8,1
1173,everybody,keith urban,2008,Country,8,2
1174,i'll walk,bucky covington,2008,Pop,8,1
1175,misery business,paramore,2008,"Soundtrack,Gaming,Pop-Punk,Alternative Rock,Rock",8,2
1176,broken,lifehouse,2008,"Ballad,Adult Contemporary,Adult Alternative,Post-Grunge,Pop-Rock,Alternative Rock,Rock",8,2
1177,trading places,usher,2008,R&;B,7,2
1178,country boy,alan jackson,2008,Country,7,2
1179,come on over,jessica simpson,2008,"Country,Pop Country",7,1
1180,go girl,pitbull,2008,Rap,7,2
1181,game's pain,the game,2008,"West Coast,Rap",7,1
1182,that song in my head,julianne hough,2008,Pop,6,1
1183,decode,paramore,2008,"Alternative,Screen,Soundtrack,Pop-Rock,Emo,Alternative Rock,Rock",6,2
1184,get back,demi lovato,2008,"Pop-Rock,Pop,Rock",6,1
1185,work that,mary j. blige,2008,"Soul,R&;B",6,2
1186,over you,daughtry,2008,"Alternative,Alternative Rock,Rock",6,2
1187,firecracker,josh turner,2008,"Country,Rock",6,2
1188,rehab,rihanna,2008,R&;B,6,2
1189,i'm so hood,dj khaled,2008,"Remix,Rap",6,2
1190,love is free,sheryl crow,2008,Country,6,1
1191,how 'bout them cowgirls,george strait,2008,"Country,Rock",5,2
1192,playa cardz right,keyshia cole,2008,"R&;B,Rap",5,2
1193,don't blink,kenny chesney,2008,"Country,Rock",5,2
1194,get my drink on,toby keith,2008,"Country,Rock",5,1
1195,gives you hell,the all,2008,"Pop-Rock,Rock",5,2
1196,gimme more,britney spears,2008,"Dance-Pop,Pop",5,2
1197,suspicions,tim mcgraw,2008,"Country,Rock",5,1
1198,it's over,jesse mccartney,2008,Pop,5,1
1199,white horse,taylor swift,2008,"Pop Country,Ballad,Country,Pop",5,2
1200,sweet thing,keith urban,2008,"Country,Rock",5,2
1201,woman,raheem devaughn,2008,Pop,4,1
1202,anything goes,randy houser,2008,Country,4,2
1203,baby don't go,fabolous,2008,Rap,4,2
1204,fearless,taylor swift,2008,"Pop Country,Country,Pop",4,3
1205,god love her,toby keith,2008,"Country,Rock",4,2
1206,without you,hinder,2008,Rock,4,2
1207,did you wrong,pleasure p,2008,"R&;B,Rap",4,1
1208,rockstar,nickelback,2008,"Alternative Rock,Post-Grunge,Canada,Hard Rock,Rock",4,3
1209,rock star,hannah montana,2008,"Disney,Soundtrack,Pop",4,1
1210,breakout,miley cyrus,2008,"Teen Pop,Pop-Rock,Pop",4,1
1211,learning how to bend,gary allan,2008,Pop,4,1
1212,you found me,the fray,2008,"Pop,Alternative Rock,Rock",4,2
1213,taking chances,celine dion,2008,"Pop,Rock",3,2
1214,untouched,the veronicas,2008,"Synth Rock,New Wave,Power Pop,Electro-Pop,Pop",3,2
1215,start all over,miley cyrus,2008,"Soundtrack,Pop",3,1
1216,wake up call,maroon 5,2008,"Adult Alternative,Rock,Pop-Rock,Pop",3,2
1217,sober,p!nk,2008,"Baroque Pop,Pop-Rock,Power Pop,Pop,Rock",3,2
1218,1234,feist,2008,"Baroque Pop,Folk,Indie Rock,Rock",3,2
1219,honey,erykah badu,2008,"Neo Soul,Soul,R&;B",3,1
1220,another try,josh turner,2008,"Country,Rock",3,1
1221,believe,staind,2008,"Hard Rock,Alternative Rock,Rock",3,1
1222,second chance,shinedown,2008,"Adult Contemporary,Adult Alternative,Post-Grunge,Alternative Rock,Rock",3,2
1223,change,taylor swift,2008,"Pop Country,Country,Pop",3,1
1224,chasing pavements,adele,2008,"Blues,UK,Soul,Pop,Rock",3,2
1225,fall,clay walker,2008,Country,3,2
1226,go on girl,ne,2008,R&;B,3,1
1227,so small,carrie underwood,2008,Country,2,2
1228,if today was your last day,nickelback,2008,Rock,2,2
1229,i'll be waiting,lenny kravitz,2008,Rock,2,1
1230,i'd rather be with you,joshua radin,2008,Rock,2,1
1231,i'd come for you,nickelback,2008,"Post-Grunge,Alternative Rock,Rock",2,1
1232,citizen/soldier,3 doors down,2008,"Post-Grunge,Military,Rock",2,1
1233,fly like me,chingy,2008,Pop,2,1
1234,mad,ne,2008,"NBA,Atlanta,Basketball,Cloud Rap,Trap,Rap",2,2
1235,circus,britney spears,2008,"Electro-Pop,Dance-Pop,Pop",2,2
1236,beautiful,akon,2008,"R&;B,Rap",2,2
1237,leave out all the rest,linkin park,2008,"Screen,Soundtrack,Alternative,Alternative Rock,Rock",2,1
1238,tonight,jonas brothers,2008,"Pop,Pop-Rock",2,2
1239,you're not sorry,taylor swift,2008,"Pop Country,Rock,Ballad,Country",2,2
1240,pushin' me away,jonas brothers,2008,"Pop,Pop-Punk,Pop-Rock",2,1
1241,no matter what,t.i.,2008,Rap,2,1
1242,river of love,george strait,2008,"Country,Rock",2,2
1243,s.o.s.,jonas brothers,2008,"Pop,Pop-Rock,Rock",2,2
1244,seventeen forever,metro station,2008,"Rock,Indie Pop,Indie Rock",1,2
1245,"what a catch, donnie",fall out boy,2008,"Alternative Pop,Alternative,Punk Rock,Pop-Rock,Ballad,Alternative Rock,Pop-Punk,Emo,Rock",1,1
1246,don't forget,demi lovato,2008,"Pop-Rock,Pop,Glam Rock,Rock",1,2
1247,cyanide,metallica,2008,"Thrash Metal,Heavy Metal,Rock",1,1
1248,ready for whatever,t.i.,2008,Rap,1,1
1249,ride,ace hood,2008,"R&;B,Rap",1,1
1250,when it hurts,avant,2008,Pop,1,2
1251,breathe,taylor swift,2008,"Pop Country,Ballad,Adult Contemporary,Country,Pop",1,1
1252,bed,j. holiday,2008,R&;B,1,2
1253,supernatural superserious,r.e.m.,2008,Rock,1,1
1254,spaceman,the killers,2008,Rock,1,1
1255,be ok,ingrid michaelson,2008,Rock,1,1
1256,bb good,jonas brothers,2008,"Pop,Pop-Rock",1,1
1257,ayo technology,50 cent,2008,"Rap,Producer",1,2
1258,shattered glass,britney spears,2008,Pop,1,1
1259,you ain't got nuthin,lil wayne,2008,Rap,1,1
1260,you are the best thing,ray lamontagne,2008,"Soul,Adult Alternative,Ballad,Blues Rock,Folk,Folk Rock,Singer-Songwriter,Rock",1,1
1261,you belong with me,taylor swift,2008,"Pop Country,Country,Pop",1,3
1262,angels,david archuleta,2008,"Cover,Ballad,Pop",1,1
1263,you know i'm no good,amy winehouse,2008,"Soul Jazz,Soul Pop,Soul,Adult Alternative,Jazz-Funk,Jazz,Funk,Rock,R&;B,UK,Alternative,Blues",1,2
1264,a little bit longer,jonas brothers,2008,"Pop,Pop-Rock,Rock",1,1
1265,fifteen,taylor swift,2008,"Pop Country,Country,Pop",1,3
1266,livin' our love song,jason michael carroll,2008,Pop,1,2
1267,3 peat,lil wayne,2008,Rap,1,1
1268,the way i loved you,taylor swift,2008,"Pop Country,Country,Pop",1,1
1269,that's not my name,the ting tings,2008,"Dance-Pop,Indie Pop,New Wave,Rock",1,2
1270,me enamora,juanes,2008,"En Espa\xc3\xb1ol,Pop",1,2
1271,kindly unspoken,kate voegele,2008,Pop,1,1
1272,just like me,jamie foxx,2008,"R&;B,Rap",1,2
1273,indestructible,disturbed,2008,"Heavy Metal,Nu-Metal,Rock",1,1
1274,the pretender,foo fighters,2008,"Dance,Pop-Rock,Alternative,Alternative Rock,Hard Rock,Rock",1,2
1275,the shock of the lightning,oasis,2008,Rock,1,1
1276,if u seek amy,britney spears,2008,"Electro-Pop,Dance-Pop,Pop",1,2
1277,me love,sean kingston,2008,Rap,1,2
1278,i'm me,lil wayne,2008,Rap,1,1
1279,migrate,mariah carey,2008,"Hip-Hop,Pop",1,1
1280,give it 2 me,madonna,2008,"Dance-Pop,Pop",1,1
1281,things that never cross a man's mind,kellie pickler,2008,"Country,Rock",1,1
1282,my apocalypse,metallica,2008,"Heavy Metal,Thrash Metal,Metal,Rock",1,1
1283,something in your mouth,nickelback,2008,Rock,1,1
1284,never gonna be alone,nickelback,2008,"Ballad,Acoustic,Pop-Rock,Rock",1,3
1285,hey stephen,taylor swift,2008,"Pop Country,Country,Pop",1,1
1286,troublemaker,akon,2008,"R&;B,Rap",1,1
1287,headfirst slide into cooperstown on a bad bet,fall out boy,2008,"Indie,Indie Pop,Indie Rock,Pop,Alternative Pop,Alternative,Alternative Rock,Punk Rock,Pop-Rock,Pop-Punk,Emo,Rock",1,1
1288,nude,radiohead,2008,"UK,Art Rock,Rock",1,1
1289,use somebody,kings of leon,2008,"Pop-Rock,Pop,Rock",1,3
1290,go hard,dj khaled,2008,Rap,1,2
1291,warrior,nelly,2008,Rap,1,1
1292,dark horse,katy perry,2014,"Trap,Rap,Producer,Pop",44,2
1293,counting stars,onerepublic,2014,"Folk Rock,Rock,Pop,Electro-Pop,Folk,Pop-Rock",42,2
1294,chandelier,sia,2014,"Adult Contemporary,Ballad,Reggae,R&;B,Electro-Pop,Pop",32,2
1295,trumpets,jason derulo,2014,"Pop,R&;B",29,2
1296,na na,trey songz,2014,"DMV,R&;B",28,1
1297,don't,ed sheeran,2014,"R&;B,Rap,UK,Pop",27,2
1298,summer,calvin harris,2014,"UK,Electronic,Pop",26,1
1299,bottoms up,brantley gilbert,2014,Country,25,1
1300,don't tell 'em,jeremih,2014,"Fashion,R&;B,Rap",25,2
1301,ain't it fun,paramore,2014,"Adult Alternative,Adult Contemporary,Alternative Rock,Funk Rock,Pop-Rock,Pop,Rock",24,1
1302,let her go,passenger,2014,"Indie Rock,Indie Pop,Folk Rock,Acoustic,Pop,Folk",23,2
1303,the monster,eminem,2014,"Hip-Hop,Pop,Rap",22,2
1304,maps,maroon 5,2014,"Adult Contemporary,Adult Alternative,Pop-Rock,Pop",22,1
1305,not a bad thing,justin timberlake,2014,"R&;B,Pop",22,1
1306,come with me now,kongos,2014,"Rock,Alternative Rock",21,1
1307,burn,ellie goulding,2014,"UK,Electro-Pop,Synth-Pop,Pop",21,2
1308,studio,schoolboy q,2014,"West Coast,Rap",20,1
1309,day drinking,little big town,2014,Country,20,1
1310,sing,ed sheeran,2014,"Contemporary Folk,Funk,R&;B,UK,Pop",20,1
1311,drink to that all night,jerrod niemann,2014,"Rock,Country",20,1
1312,neon lights,demi lovato,2014,Pop,20,1
1313,no mediocre,t.i.,2014,"West Coast,Rap",20,1
1314,small town throwdown,brantley gilbert,2014,"Country,Rock",20,1
1315,lettin' the night roll,justin moore,2014,"Rock,Country",20,1
1316,human,christina perri,2014,Pop,20,1
1317,drunk on a plane,dierks bentley,2014,Country,20,1
1318,american kids,kenny chesney,2014,"Country,Rock",20,1
1319,i don't dance,lee brice,2014,"Country,Rock",20,1
1320,yeah,joe nichols,2014,"Country,Rock",20,1
1321,we dem boyz,wiz khalifa,2014,"Trap,Hip-Hop,Memes,Rap",20,1
1322,play it again,luke bryan,2014,Country,20,1
1323,beachin',jake owen,2014,"Country,R&;B,Rock",20,1
1324,bartender,lady antebellum,2014,Country,20,1
1325,who do you love?,yg,2014,"Fashion,Canada,West Coast,Rap",20,1
1326,roller coaster,luke bryan,2014,"Country,Rock",20,1
1327,girls chase boys,ingrid michaelson,2014,"Pop-Rock,Pop,Indie Pop",20,1
1328,rewind,rascal flatts,2014,Country,20,1
1329,i hold on,dierks bentley,2014,Country,19,1
1330,meanwhile back at mama's,tim mcgraw,2014,"Rock,Country",19,1
1331,the man,aloe blacc,2014,"Adult Contemporary,Alternative R&;B,Adult Alternative,Soul Pop,Soul,Pop,R&;B",19,2
1332,who i am with you,chris young,2014,Country,19,1
1333,anaconda,nicki minaj,2014,"Memes,Rap,Pop,Producer",19,2
1334,about the money,t.i.,2014,"Atlanta,Trap,Rap",19,2
1335,automatic,miranda lambert,2014,"Rock,Country",19,1
1336,we are tonight,billy currington,2014,"Country,Rock",19,1
1337,cop car,keith urban,2014,Country,18,1
1338,do i wanna know?,arctic monkeys,2014,"British Rock,UK,Adult Alternative,Soundtrack,Psychedelic Rock,Blues Rock,Indie Rock,Alternative Rock,Rock",18,2
1339,river bank,brad paisley,2014,Country,18,1
1340,this is how we do,katy perry,2014,"Dance-Pop,Pop",18,1
1341,pills n potions,nicki minaj,2014,Rap,18,1
1342,birthday,katy perry,2014,"Disco,Pop",18,1
1343,shake it off,taylor swift,2014,"Dance-Pop,Pop",17,2
1344,neon light,blake shelton,2014,"Non-Music,Country,Rock",17,2
1345,doin' what she likes,blake shelton,2014,Country,17,1
1346,try,colbie caillat,2014,"Feminism,Pop",17,2
1347,really don't care,demi lovato,2014,"Alternative Pop,Bubblegum Pop,Dance-Pop,Pop",17,2
1348,animals,maroon 5,2014,"Adult Contemporary,Adult Alternative,Pop-Rock,Pop",17,2
1349,somewhere in my car,keith urban,2014,"Country,Rock",16,2
1350,fight night,migos,2014,Rap,16,1
1351,sleeping with a friend,neon trees,2014,Rap,16,1
1352,goodnight kiss,randy houser,2014,"Country,Rock",16,1
1353,roar,katy perry,2014,Pop,16,2
1354,adore you,miley cyrus,2014,Pop,16,2
1355,come get it bae,pharrell williams,2014,"R&;B,Pop",15,1
1356,brave,sara bareilles,2014,"Power Pop,Pop-Rock,Pop,Rock",15,2
1357,wrecking ball,miley cyrus,2014,"Adult Contemporary,Ballad,Memes,Pop",15,2
1358,see you tonight,scotty mccreery,2014,"Country,Rock",15,2
1359,"hold on, we're going home",drake,2014,"R&;B,Canada",14,2
1360,young girls,bruno mars,2014,"Ballad,Pop",14,1
1361,compass,lady antebellum,2014,"Country,Rock",14,2
1362,centuries,fall out boy,2014,"Punk Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Pop-Punk,Pop,Rock",14,2
1363,drink a beer,luke bryan,2014,"Country,Rock",14,2
1364,man of the year,schoolboy q,2014,"West Coast,Rap",13,1
1365,red lights,tiesto,2014,"Pop,Electronic",13,1
1366,blurred lines,robin thicke,2014,"R&;B,Pop",13,2
1367,take me home,cash cash,2014,"Pop,Dance,Electronic",13,1
1368,i don't fuck with you,big sean,2014,"Hyphy,West Coast,Producer,Rap",12,2
1369,sail,awolnation,2014,"Electro-Pop,Pop-Rock,Alternative Rock,Industrial Rock,Indie Rock,Electronic Rock,Rock",12,4
1370,invisible,hunter hayes,2014,Country,12,1
1371,the walker,fitz and the tantrums,2014,"Adult Alternative,Alternative Rock,Alternative Dance,Electro-Pop,Indie Pop,Indie Rock,Neo Soul,Pop",12,1
1372,everything i shouldn't be thinking about,thompson square,2014,Country,12,1
1373,wasted,tiesto,2014,"Dance,House,Electronic,Pop",12,1
1374,waiting for superman,daughtry,2014,Rock,12,2
1375,unconditionally,katy perry,2014,Pop,12,2
1376,the language,drake,2014,"Trap,Canada,Rap",12,2
1377,something in the water,carrie underwood,2014,"Christian,Country",11,2
1378,shotgun rider,tim mcgraw,2014,"Country,Rock",11,2
1379,rap god,eminem,2014,"Hip-Hop,Hardcore Hip-Hop,Producer,Electronic,Memes,Rap",11,2
1380,worst behavior,drake,2014,"Producer,Glitch Hop,Trap,Canada,Rap",10,2
1381,whatever she's got,david nail,2014,Country,10,2
1382,perfect storm,brad paisley,2014,Country,10,2
1383,foreign,trey songz,2014,"DMV,R&;B,Rap",10,1
1384,keep them kisses comin',craig campbell,2014,Pop,10,1
1385,thinking out loud,ed sheeran,2014,"Soul,UK,Pop",10,2
1386,dust,eli young band,2014,"Country,Rock",9,1
1387,drinking class,lee brice,2014,"Country,Rock",9,2
1388,superheroes,the script,2014,"Ireland,Pop",9,1
1389,chainsaw,the band perry,2014,"Country,Rock",9,1
1390,love don't die,the fray,2014,"Pop,Rock",9,1
1391,headlights,eminem,2014,"SHADYXV,Producer,Rap",8,1
1392,all me,drake,2014,"Canada,Rap",8,2
1393,sweet annie,zac brown band,2014,"Country,Rock",8,2
1394,handsome and wealthy,migos,2014,Rap,8,1
1395,only,nicki minaj,2014,"DMV,Canada,East Coast,Trap,Rap",7,2
1396,til it's gone,kenny chesney,2014,Country,7,2
1397,i got a car,george strait,2014,Country,7,1
1398,blank space,taylor swift,2014,"Teen Pop,Synth-Pop,Electro-Pop,Pop",7,2
1399,marry me,jason derulo,2014,"Pop,R&;B",6,2
1400,radio,darius rucker,2014,"Country,Rock",6,2
1401,drunk last night,eli young band,2014,"Country,Rock",5,2
1402,applause,lady gaga,2014,"Eurodance,Electronic,Pop",5,2
1403,slow me down,sara evans,2014,Country,5,1
1404,alone together,fall out boy,2014,"Pop,Alternative,Alternative Pop,Pop-Rock,Rock",5,2
1405,all that matters,justin bieber,2014,"Canada,Pop",5,2
1406,burnin' up,jessie j,2014,"R&;B,UK,Pop,Rap",5,2
1407,i choose you,sara bareilles,2014,"Rock,Pop",5,1
1408,survival,eminem,2014,"SHADYXV,Rap",4,2
1409,sunny and 75,joe nichols,2014,Country,4,2
1410,she knows,ne,2014,"R&;B,Rap",4,2
1411,lookin' for that girl,tim mcgraw,2014,"Country,Rock",4,1
1412,berzerk,eminem,2014,"Rap Rock,Hip-Hop,Rap",4,2
1413,fever,the black keys,2014,"Adult Alternative,Alternative Rock,Blues Rock,Indie Rock,Rock",3,1
1414,bed of lies,nicki minaj,2014,"Soul Pop,R&;B,Pop,Rap",3,2
1415,the hanging tree,james newton howard,2014,"Soundtrack,Folk,Pop,Screen,Literature",3,2
1416,that's my kind of night,luke bryan,2014,"Pop Country,Country",3,2
1417,first love,jennifer lopez,2014,Pop,3,1
1418,homegrown honey,darius rucker,2014,Country,3,2
1419,i see you,luke bryan,2014,Country,3,2
1420,beating heart,ellie goulding,2014,"Screen,Soundtrack,Pop",3,1
1421,i lived,onerepublic,2014,"Screen,Soundtrack,Folk Rock,Folk,Pop-Rock,Pop,Rock",3,2
1422,angel in blue jeans,train,2014,"Rock,Pop-Rock",3,1
1423,all i want for christmas is you,mariah carey,2014,"East Coast,Christmas,R&;B,Pop",3,9
1424,perfume,britney spears,2014,"Ballad,Pop",3,2
1425,bounce it,juicy j,2014,"DMV,R&;B,Rap",3,2
1426,it was always you,maroon 5,2014,"Alternative Rock,Pop",3,1
1427,like a cowboy,randy houser,2014,Country,2,2
1428,style,taylor swift,2014,"Pop-Rock,Funk-Pop,Disco,Pop",2,2
1429,seen it all,jeezy,2014,Rap,2,1
1430,wake up lovin' you,craig morgan,2014,Country,2,1
1431,i luh ya papi,jennifer lopez,2014,"Pop,Rap",2,1
1432,collard greens,schoolboy q,2014,Rap,2,2
1433,out of the woods,taylor swift,2014,"Electro-Pop,Synth-Pop,Pop",2,2
1434,west coast,lana del rey,2014,"Psychedelic Rock,Alternative,Rock,Trip-Hop,Dream-Pop,Pop,Alternative Pop",2,1
1435,welcome to new york,taylor swift,2014,"Synth-Pop,Pop",2,1
1436,confident,justin bieber,2014,"Reggae,R&;B,Rap,Canada,Pop",2,2
1437,billie jean,michael jackson,2014,"Eighties,Funk,Synth-Pop,Soul,Soul Pop,R&;B,Pop",1,1
1438,shades of cool,lana del rey,2014,"Alternative Rock,Alternative Pop,Alternative,Blues Rock,Pop,Rock",1,1
1439,wet dreamz,j. cole,2014,"Producer,Rap",1,2
1440,bad blood,taylor swift,2014,"Electro-Hop,Electro-Pop,Rap,Pop",1,2
1441,who you love,john mayer,2014,"Folk,Country,Adult Alternative,Adult Contemporary,Pop-Rock,Pop,Rock",1,2
1442,wildest dreams,taylor swift,2014,"Dream-Pop,Pop",1,3
1443,afire love,ed sheeran,2014,"Rock,UK,Pop",1,1
1444,adrenalina,wisin,2014,"Latin Pop,Pop,Latin Music,Reggaeton,En Espa\xc3\xb1ol",1,1
1445,underneath the tree,kelly clarkson,2014,"Christmas,Pop",1,3
1446,g.u.y.,lady gaga,2014,"Electronic,Pop",1,1
1447,ultraviolence,lana del rey,2014,"Alternative Rock,Rock,Alternative Pop,Alternative,Dream-Pop,Pop",1,1
1448,el perdedor,enrique iglesias,2014,"Latin Music,Spanish Music,Pop",1,1
1449,sanctified,rick ross,2014,"Trap,Producer,Rap",1,1
1450,rockin' around the christmas tree,brenda lee,2014,"Christmas,Rock",1,6
1451,slave to the rhythm,michael jackson,2014,"Synth-Pop,R&;B,Pop",1,1
1452,one,ed sheeran,2014,"Rock,UK,Pop",1,1
1453,no role modelz,j. cole,2014,"Producer,Rap",1,3
1454,my baby's guns n' roses,brantley gilbert,2014,"Country,Rock",1,1
1455,m.a.a.d city,kendrick lamar,2014,"Trap,Hip-Hop,Gangsta Rap,Conscious Hip-Hop,G-Funk,Memes,West Coast,Producer,Rap",1,3
1456,i won't let you down,ok go,2014,Rock,1,1
1457,ten feet tall,afrojack,2014,"Pop,Electronic",1,1
1458,the devil is a lie,rick ross,2014,Rap,1,1
1459,heart attack,enrique iglesias,2014,Pop,1,2
1460,gorilla,bruno mars,2014,"Pop-Rock,Soul Pop,Soul,Rock,R&;B,Pop",1,2
1461,get her back,robin thicke,2014,"R&;B,Pop",1,1
1462,thriller,michael jackson,2014,"Eighties,Halloween,Funk,Synth-Pop,Soul,Soul Pop,R&;B,Pop",1,4
1463,explosions,ellie goulding,2014,"UK,Pop",1,1
1464,17 again,brantley gilbert,2014,"Country,Rock",1,1
